study,study6,study8,study9,study10,study11,study12,condition,punonly,helponly,helpfirst,TG,q1correct,q2correct,q3correct,q4correct,q5correct,q6correct,q7correct,compscore,perfectcomp,compscoreTG,perfectcompTG,postqcorrect,crt,highcrt,help,punish,return,anger,bad,deservep,outrage,compassion,deserves,good,posemot,age,male,edu,income,NFC,FII
8,0,1,0,0,0,0,Helping Only,0,1,,0,0,1,1,1,,,,3,0,,,,1,0,0,,,,,,,0,0,44,15,24,0,4,5,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,0,,,,,,,,,,23,1,5,1,3,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,2,1,0,0,,0,0,0,0,0,0,78,26,22,1,5,3,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,1,0,0,1,0,3,0,1,0,,1,0,1,0,50,100,100,100,100,44,44,44,44,66,1,4,6,,
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,0,1,,,,3,0,,,,,,0,,,,,,,78,11,100,63,22,0,4,6,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,1,100,,,,,,,,,31,0,6,6,,
11,0,0,0,0,1,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,50,,,,,,,,,19,0,2,4,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,1,1,1,1,0,1,0,1,3,0,2,0,,,,1,1,100,33,44,100,59,44,100,100,81,35,0,5,4,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,,,,,25,1,4,4,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,44,67,44,52,26,0,4,6,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,0,1,1,1,1,3,0,3,1,,,,1,1,0,44,22,78,48,44,44,78,56,23,1,4,2,,
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,78,78,78,78,26,1,4,2,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,0,0,0,1,3,0,1,0,,,,,0,20,,,,,,,,,56,0,2,4,3,5
9,0,0,1,0,0,0,Punishment Only,1,0,,1,0,0,1,0,0,0,0,1,0,0,0,,,,,0,60,78,78,44,67,,,,,35,0,5,7,,
12,0,0,0,0,0,1,Punishment + Helping,0,0,0,1,1,1,1,0,0,1,1,3,0,2,0,,,,0,0,10,,,,,,,,,26,0,2,5,,
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,0,0,1,1,3,0,2,0,,,,1,1,10,,,,,,,,,26,0,4,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,0,1,1,0,,,,2,0,,,,,,1,1,,,,,,,,,,28,0,6,9,1,5
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,0,0,,0,0,0,0,0,0,0,0,28,1,4,3,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,1,2,1,1,1,,50,,,50,,,,,25,0,4,2,3,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,0,0,,,,2,0,,,0,0,0,,0,,10,,,10,,,,,60,0,4,2,3,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,0,0,,0,0,0,0,11,11,56,26,21,0,4,2,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,0,0,0,,,,1,0,,,0,0,0,1,1,,20,,,20,,,,,23,0,4,6,1,5
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,1,0,0,,1,,0,,,0,,,,,34,1,2,8,4,5
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,1,0,,,,,,,,,,47,1,6,4,3,4
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,0,1,0,1,3,0,2,0,,,,1,0,100,,,,,,,,,41,0,4,4,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,0,0,,,,2,0,,,1,2,1,1,0,,0,,,0,,,,,28,1,5,6,2,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,0,0,0,0,0,,0,,,0,,,,,35,0,2,6,3,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,0,0,1,1,,20,,,20,,,,,49,1,4,5,3,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,0,1,0,,,,2,0,,,,,,0,0,,,,,,,,,,47,0,4,3,3,5
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,0,44,44,30,23,0,4,2,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,0,0,1,0,0,1,1,1,0,2,0,,0,0,,1,20,,,,,,,,,40,1,4,5,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,3,1,0,,,,,,,0,0,56,19,24,1,5,8,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,0,1,4,1,2,0,,3,1,,0,0,,,,,,,,,52,0,2,6,3,3
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,,,,0,,,,,,,,,,33,0,4,5,2,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,0,1,1,,,,3,0,,,,2,1,0,1,,0,11,11,7,11,22,11,15,47,1,6,10,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,1,0,,0,,60,,,60,,,,,35,0,5,2,2,3
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,100,100,100,100,61,0,3,9,,
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,0,,22,11,22,19,,,,,59,0,6,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,1,0,,,,,,,,,,32,0,6,7,1,4
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,0,50,,,,,,,,,27,1,4,5,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,0,,,,3,0,,,,1,0,1,0,,44,44,44,44,44,100,100,81,59,0,4,6,,
12,0,0,0,0,0,1,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,,,,,20,1,2,1,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,0,1,4,1,2,0,,3,1,1,0,0,,,,,,,,,57,1,5,3,2,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,0,0,,,,,,,,,,23,0,5,5,2,4
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,0,,,,,,,,,31,1,4,8,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,0,,,,,,,,,33,1,6,7,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,0,1,1,4,1,2,0,,,,1,0,90,,,,,,,,,31,0,5,9,2,4
8,0,1,0,0,0,0,Helping Only,0,1,,0,0,1,1,1,,,,3,0,,,,0,0,1,,,,,,,56,67,100,74,24,0,5,2,,
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,100,67,56,89,70,,,,,32,0,6,6,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,0,1,1,0,1,1,3,0,2,0,,0,0,0,0,0,,,,,,,,,23,0,5,9,3,3
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,0,1,0,0,0,1,2,0,1,0,,,,1,0,50,,,,,,,,,29,0,3,7,2,4
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,,,,,21,1,4,1,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,1,0,,1,,10,,,10,,,,,34,1,4,3,4,4
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,0,1,1,1,0,1,3,0,2,0,,,,1,1,50,,,,,,,,,39,0,5,6,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,1,0,,0,,,,,,,,,,35,1,5,5,2,4
8,0,1,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,,,0,0,,0,11,11,7,11,44,44,33,37,0,5,9,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,3,1,,0,,,,,,,,,,41,1,5,4,2,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,1,0,1,1,,0,,,0,,,,,46,0,5,10,1,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,0,0,1,1,,40,,,40,,,,,39,1,4,4,2,4
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,1,,,,,,,56,89,89,78,56,1,6,10,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,,,1,0,,,,,,,,,,57,1,6,10,2,5
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,0,,,,3,0,,,,0,0,1,,,,,,,44,44,100,63,29,0,5,5,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,0,0,0,0,1,0,1,0,0,2,0,,,,,0,50,,,,,,,,,51,1,5,10,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,2,1,,0,0,,,,,,,,,29,0,6,4,2,3
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,20,,,,,,,,,36,1,2,6,1,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,0,1,1,1,1,0,1,3,0,2,0,,,,,1,20,,,,,,,,,30,0,6,6,2,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,0,1,1,1,,,,3,0,,,,0,0,0,0,,44,67,67,59,44,56,78,59,31,1,6,6,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,0,1,0,0,,,,1,0,,,0,1,0,1,1,,50,,,50,,,,,26,0,4,1,3,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,0,1,1,1,1,0,1,3,0,2,0,,,,1,0,50,,,,,,,,,65,0,4,4,1,3
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,0,1,1,,,,3,0,,,,1,0,1,,,,,,,44,100,100,81,57,1,2,5,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,1,0,1,1,,60,,,60,,,,,32,0,4,7,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,1,0,,0,,10,,,10,,,,,29,0,5,8,5,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,0,0,1,0,,11,56,22,30,44,44,78,56,57,0,4,4,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,0,0,0,1,3,0,1,0,,,,,1,50,,,,,,,,,25,1,4,7,2,3
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,0,1,1,4,1,2,0,,2,1,,0,0,,,,,,,,,37,1,6,10,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,0,0,1,1,,,,,,,,,,46,0,3,9,2,5
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,0,1,1,1,3,0,3,1,,,,,0,30,22,0,0,7,,,,,41,0,5,9,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,1,0,0,0,,,,,,,,,,27,1,6,10,2,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,1,50,0,44,67,37,78,78,100,85,46,1,3,3,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,1,1,,70,,,70,,,,,28,0,5,6,2,3
12,0,0,0,0,0,1,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,0,,0,,,,,,,,,30,1,5,10,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,0,0,0,0,,0,,,0,,,,,32,0,5,4,2,4
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,0,0,,0,,,,,,,,,,74,0,5,8,3,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,0,0,,0,10,,,,,,,,,26,0,4,5,1,5
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,1,0,,1,,44,67,67,59,,,,,72,1,2,6,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,1,3,1,,0,,90,,,90,,,,,74,1,2,5,3,3
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,0,0,0,1,3,0,1,0,,1,0,,1,100,,,,,,,,,74,1,2,6,3,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,0,0,0,1,0,,0,,,0,,,,,27,1,5,5,4,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,0,,10,,,10,,,,,35,1,4,5,2,3
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,1,0,,1,,80,,,80,,,,,26,1,6,9,3,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,0,1,1,4,1,2,0,,,,,1,60,,,,,,,,,33,1,5,6,2,5
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,0,,,,3,0,,,,1,0,1,,,,,,,89,100,67,85,35,1,3,6,,
9,0,0,1,0,0,0,Punishment Only,1,0,,0,0,0,0,1,,,,1,0,,,,,,,1,,11,56,56,41,,,,,54,0,4,6,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,0,0,,0,,50,,,50,,,,,60,0,6,10,2,4
9,0,0,1,0,0,0,Punishment Only,1,0,,1,0,1,1,1,1,0,1,3,0,2,0,,2,1,,0,50,0,44,44,30,,,,,32,0,4,5,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,0,0,,0,,,0,,,,,34,0,2,3,3,5
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,1,,,,,,,,,,20,0,2,1,4,5
8,0,1,0,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,1,0,1,0,,56,67,44,56,78,100,89,89,43,0,5,6,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,0,0,,,,2,0,,,0,1,0,,0,,0,,,0,,,,,40,0,5,10,2,4
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,0,1,4,1,2,0,,,,,0,50,,,,,,,,,20,1,6,5,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,3,1,,0,,,,,,,,,,35,0,6,6,2,4
11,0,0,0,0,1,0,Punishment + Helping,0,0,0,1,1,1,1,1,0,1,1,4,1,2,0,,,,1,1,50,,,,,,,,,24,1,5,3,,
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,0,,67,89,89,81,,,,,44,1,2,4,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,0,1,1,0,1,1,3,0,2,0,,,,0,,0,,,,,,,,,30,1,5,7,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,2,1,0,0,,50,,,50,,,,,48,1,6,7,2,3
12,0,0,0,0,0,1,Punishment Only,1,0,,1,1,1,0,1,0,1,1,3,0,2,0,,3,1,,0,50,,,,,,,,,30,0,2,7,,
8,0,1,0,0,0,0,Punishment + Helping,0,0,0,0,1,1,0,0,,,,2,0,,,,3,1,0,0,,0,0,0,0,67,56,56,59,44,1,2,4,,
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,1,1,0,1,4,1,2,0,,1,0,,0,60,11,67,11,30,,,,,60,0,5,9,,
8,0,1,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,3,1,0,0,,0,0,0,0,44,44,44,44,60,0,4,4,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,1,0,0,0,,,,,,,,,,35,1,5,4,1,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,0,1,1,0,1,,,,3,0,,,,,,1,1,,,,,,,,,,35,1,5,6,1,5
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,2,1,,1,50,,,,,,,,,19,0,4,3,4,2
8,0,1,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,0,0,,0,,0,0,0,0,,,,,26,0,4,6,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,0,0,0,0,0,,0,,,0,,,,,25,0,6,6,3,3
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,1,0,,0,,44,56,56,52,,,,,60,0,5,8,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,0,0,0,1,,,,1,0,,,,,,,1,,,,,,,,,,44,1,2,5,5,4
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,0,1,1,0,1,0,1,2,0,2,0,,,,1,0,10,0,11,0,4,100,78,100,93,43,1,4,3,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,0,1,,,,3,0,,,0,0,0,,0,,50,,,50,,,,,21,1,2,6,3,3
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,1,0,,0,,0,,,0,,,,,24,1,5,4,4,5
11,0,0,0,0,1,0,Helping Only,0,1,,1,0,0,1,1,0,0,1,2,0,1,0,,,,1,,70,,,,,,,,,26,1,6,1,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,0,1,,,,3,0,,,1,0,0,,0,,50,,,50,,,,,21,0,4,10,1,3
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,1,1,1,1,0,0,1,0,3,0,1,0,,3,1,1,1,50,44,44,44,44,44,44,44,44,23,0,4,1,,
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,0,0,1,1,1,,,,3,0,,,,2,1,1,0,,67,67,67,67,100,100,100,100,23,0,2,4,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,2,1,,1,100,,,,,,,,,24,0,2,5,1,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,1,0,1,0,,,,,,,,,,29,0,5,1,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,0,0,,0,,60,,,60,,,,,26,0,2,6,2,2
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,0,,,,,,,33,44,78,52,22,0,5,4,,
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,,50,,,,,44,89,100,78,31,0,4,4,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,,,,1,1,,,,,,,,,,30,1,5,6,2,4
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,,,,0,,33,11,33,26,,,,,30,0,4,9,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,0,,,,,,,,,,34,1,5,7,3,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,0,0,,0,,,0,,,,,19,1,4,10,3,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,0,,,,3,0,,,0,0,0,0,1,,70,,,70,,,,,55,0,5,3,2,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,3,1,1,0,,70,,,70,,,,,32,0,5,7,2,4
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,1,1,50,,,,,,,,,44,0,6,7,3,2
8,0,1,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,,,0,0,,0,0,0,0,0,44,44,30,24,1,4,5,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,1,0,1,,,,,,,44,44,67,52,67,1,4,6,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,0,0,,0,,0,,,0,,,,,28,0,5,2,3,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,0,0,0,,1,,80,,,80,,,,,29,0,5,7,1,4
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,2,1,,0,0,0,0,0,0,,,,,44,0,3,4,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,1,0,0,0,,0,,,0,,,,,27,1,5,7,1,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,1,0,0,,0,,90,,,90,,,,,68,0,3,3,2,3
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,0,1,1,1,1,1,3,0,3,1,,,,1,0,50,,,,,,,,,20,0,4,7,3,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,0,0,,0,,40,,,40,,,,,22,0,5,7,1,2
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,0,1,1,0,1,3,0,2,0,,,,,1,30,,,,,,,,,44,0,4,7,3,4
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,0,0,1,1,3,0,2,0,,1,0,,0,40,56,44,56,52,,,,,28,1,4,5,,
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,0,1,4,1,2,0,,1,0,,0,50,,,,,,,,,29,1,4,5,2,3
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,0,1,1,,,,3,0,,,,,,,0,,,,,,,,,,31,0,4,5,1,5
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,1,1,0,1,4,1,2,0,,2,1,,0,50,0,11,11,7,,,,,44,0,5,4,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,2,1,1,1,,,,,,,,,,21,1,4,2,4,5
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,,,,1,,,,,,,,,,27,1,5,4,4,3
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,1,0,,0,50,,,,,,,,,29,0,6,5,4,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,0,0,1,0,,60,,,60,,,,,31,1,2,1,3,3
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,0,0,1,,60,,,,,78,78,89,81,25,0,6,7,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,0,70,,,,,,,,,36,0,5,3,,
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,0,0,0,,,,,,,0,0,44,15,25,0,4,6,,
8,0,1,0,0,0,0,Helping Only,0,1,,0,0,1,0,1,,,,2,0,,,,0,0,1,,,,,,,67,56,100,74,37,0,2,6,,
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,20,,,,,,,,,59,0,4,4,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,0,3,1,,0,,10,,,10,,,,,63,1,5,4,3,3
9,0,0,1,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,2,1,1,0,,22,67,44,44,22,56,78,52,41,0,5,7,,
8,0,1,0,0,0,0,Punishment + Helping,0,0,0,0,1,1,1,1,,,,4,1,,,,,,1,0,,22,44,11,26,67,67,78,70,26,1,5,5,,
11,0,0,0,0,1,0,Punishment Only,1,0,,1,1,1,1,0,1,1,0,3,0,2,0,,,,,0,100,,,,,,,,,22,0,4,2,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,0,0,,,,2,0,,,0,0,0,,0,,30,,,30,,,,,30,0,6,5,2,3
10,0,0,0,1,0,0,Punishment + Helping,0,0,0,1,1,1,1,1,1,0,1,4,1,2,0,,2,1,1,0,20,,,,,,,,,33,1,6,8,4,3
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,1,1,0,0,0,,0,,,0,,,,,34,0,4,5,3,3
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,,,,1,,0,33,67,33,,,,,27,0,3,5,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,0,1,,,,3,0,,,0,1,0,,1,,90,,,90,,,,,32,0,5,4,3,3
8,0,1,0,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,0,,,,,,,0,44,44,30,26,0,5,6,,
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,2,1,,0,,,,,,,,,,21,0,4,1,1,2
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,0,,,,,,,,,,53,0,3,6,2,3
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,1,1,1,1,4,1,3,1,,,,1,,50,,,,,,,,,29,1,4,2,,
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,3,1,,0,,22,11,33,22,,,,,37,0,6,6,,
9,0,0,1,0,0,0,Helping Only,0,1,,0,1,1,1,1,,,,4,1,,,,,,0,,,,,,,67,78,100,81,21,1,2,1,,
12,0,0,0,0,0,1,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,3,1,,0,10,,,,,,,,,39,0,2,2,,
9,0,0,1,0,0,0,Helping Only,0,1,,1,1,1,1,0,1,0,1,3,0,2,0,,,,1,,50,,,,,100,100,100,100,45,0,4,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,,,0,0,,,,,,,,,,22,0,5,4,1,4
